0,1,2,3,4,5
545,1045,12369,473,1,15531
459,2208,9698,128,1660,15965
657,8502,41,417,2837,17499
3319,1540,5943,82,16,19042
0,26759,2705,0,0,572
6321,5344,9202,6078,1583,1438
