0,1,2,3,4,5,6
26735,0,0,0,149,0,296
24,27307,0,0,0,0,0
0,0,27245,0,0,0,4
1,21,0,27143,2,0,11
218,0,0,0,27008,0,3
124,0,0,0,0,27131,0
385,14,3,20,97,0,26585
