0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.5,0.0,0.0,0.53561646,1.0,0.52666664,0.532,0.53816664,0.5913333,0.500025,0.0,0.5044579,0.0,0.5010929,0.500025,0.0,0.5044579,0.0,0.5010929
0.0,0.5,0.0,0.0,0.0,0.26923078,0.5,0.5,1.0,0.5,0.50000066,0.50003356,0.0,0.0,0.0,0.50000066,0.50003356,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.5082192,0.26923078,0.5273333,0.0,0.0,0.0,0.0,0.50009394,0.0,0.0,0.0,0.0,0.50009394,0.0,0.0,0.0
0.5,0.0,0.0,0.50513697,0.510274,0.26923078,0.54333335,1.0,0.5,0.5,0.0,0.50009793,0.5001883,0.0,0.5002434,0.0,0.50009793,0.5001883,0.0,0.5002434
1.0,0.5082192,0.0,0.65136987,0.7013699,0.5,0.0,0.53466666,0.5426667,0.0,0.50000066,0.5000483,0.0,0.0,0.5001798,0.50000066,0.5000483,0.0,0.0,0.5001798
0.5,0.5,0.0,0.0,0.510274,0.26923078,0.5313333,0.0,0.55466664,0.95266664,0.50000066,0.5000727,0.0,0.0,0.502514,0.50000066,0.5000727,0.0,0.0,0.502514
0.5,0.5,0.0,0.0,0.5931507,0.26923078,0.0,0.0,0.532,0.54933333,0.500057,0.0,0.0,0.50023264,0.50000787,0.500057,0.0,0.0,0.50023264,0.50000787
0.5,0.0,0.0,0.0,0.5561644,1.0,0.0,0.54866666,0.0,0.010666668,0.50008565,0.0,0.0,0.0,0.51494086,0.50008565,0.0,0.0,0.0,0.51494086
0.0,0.5,0.0,0.0,0.5965753,0.26923078,0.0,0.0,0.532,0.55,0.500057,0.0,0.0,0.5002184,0.5000068,0.500057,0.0,0.0,0.5002184,0.5000068
0.0,0.5,0.0,0.0,0.5191781,1.0,0.5273333,0.5466667,0.57850003,0.0,0.0,0.5001409,0.0,0.0,0.53681564,0.0,0.5001409,0.0,0.0,0.53681564
1.0,0.5082192,0.0,0.6544521,0.7616438,0.5,0.0,0.53466666,0.5426667,0.0,0.50001246,0.0,0.0,0.0,0.50018036,0.50001246,0.0,0.0,0.0,0.50018036
0.0,0.5,0.0,0.0,0.51369864,0.26923078,0.52666664,0.0,0.0,0.586,0.5000509,0.500084,0.0,0.0,0.501214,0.5000509,0.500084,0.0,0.0,0.501214
