0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.50582194,0.51215756,0.5267123,1.0,0.0,0.546,0.0,0.18199998,0.0,0.0,0.5054371,0.0,0.0,0.0,0.0,0.5054371,0.0,0.0
0.5,0.5,0.0,0.0,0.52397263,1.0,0.52666664,0.0,0.0,0.58266664,0.5687064,0.50023323,0.0,0.0,0.0,0.5687064,0.50023323,0.0,0.0,0.0
0.5,0.0,0.5,0.5025685,0.0,1.0,0.0,0.63266665,0.5,0.5,0.5016103,0.50011915,0.50012845,0.0,0.50139064,0.5016103,0.50011915,0.50012845,0.0,0.50139064
0.0,0.0,0.50547945,0.5109589,0.5287671,0.26923078,0.0,0.546,0.55866665,0.18199998,0.0,0.0,0.50598854,0.5019593,0.0,0.0,0.0,0.50598854,0.5019593,0.0
0.5,0.5,0.0,0.0,0.74452055,0.26923078,0.614,0.884,0.0,0.0,0.0,0.5001752,0.0,0.0,0.0,0.0,0.5001752,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.26923078,0.0,0.52666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.51369864,0.26923078,0.884,0.884,0.0,0.0,0.0,0.500005,0.0,0.0,0.0,0.50053674,0.500005,0.0,0.0,0.0
0.5,0.90273976,0.0,1.0,0.5,0.26923078,0.0,0.0,0.52666664,0.5913333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,0.26923078,0.884,0.884,0.0,0.884,0.5021471,0.50005203,0.0,0.0,0.53571725,0.5021471,0.50005203,0.0,0.0,0.53571725
0.5,0.0,0.0,0.86712325,0.0,1.0,0.52666664,0.0,0.0,0.532,0.50053674,0.500013,0.0,0.50004256,0.50023705,0.50053674,0.500013,0.5000699,0.50004256,0.50023705
0.0,0.6207192,0.0,0.86712325,0.0,0.26923078,0.52666664,0.52666664,0.53466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,1.0,0.52666664,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.52666664,0.0,0.0,0.52844876,0.0,0.0,0.0,0.50048584,0.0,0.0,0.0,0.0,0.50048584
0.0,0.0,0.50479454,0.5114726,0.0,1.0,0.0,0.546,0.55866665,0.14999998,0.0,0.0,0.5051105,0.50124294,0.0,0.6218465,0.0,0.5051105,0.50124294,0.0
0.0,0.0,0.5,0.51113015,0.0,0.26923078,0.0,0.53166664,0.552,0.564,0.0,0.0,0.50020325,0.0,0.5009579,0.0,0.0,0.50020325,0.0,0.5009579
0.5,0.95753425,0.20136988,1.0,0.44520545,0.26923078,0.0,0.0,0.53466666,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.51113015,0.0,0.26923078,0.0,0.53166664,0.552,0.564,0.0,0.0,0.50020975,0.0,0.5002887,0.0,0.0,0.50020975,0.0,0.5002887
0.0,0.0,0.50410956,0.509589,0.0,0.26923078,0.0,0.5606667,0.57533336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52182764,0.0,0.0
0.5,0.5010274,0.0,0.0,0.0,1.0,0.52666664,0.0,0.0,0.5913333,0.55367684,0.50027525,0.0,0.0,0.0,0.55367684,0.50027525,0.0,0.0,0.0
0.5,0.95753425,0.20136988,0.44520545,0.44520545,1.0,0.0,0.0,0.52666664,0.588,0.5670961,0.5113564,0.0,0.0,0.5005437,0.5670961,0.5113564,0.50512004,0.0,0.5005437
0.5,0.5,0.5,0.0,0.7232877,1.0,0.52666664,0.0,0.0,1.0,0.599839,0.50114316,0.50080675,0.5003699,0.0,0.599839,0.50114316,0.50080675,0.5003699,0.0
0.0,0.5,0.0,1.0,1.0,0.26923078,0.0,0.52933335,0.56366664,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.532,0.55866665,0.53864735,0.5002082,0.0,0.50800157,0.0,0.53864735,0.5002082,0.0,0.50800157,0.0
0.0,0.0,0.5,0.51369864,0.6821918,0.26923078,0.0,0.532,0.0,0.0,0.0,0.0,0.53636634,0.516231,0.0,0.70504564,0.0,0.53636634,0.516231,0.0
0.5,0.0,0.0,0.86712325,0.0,1.0,0.52666664,0.0,0.0,0.532,0.50053674,0.500008,0.0,0.5000124,0.50005174,0.50053674,0.500008,0.5000049,0.5000124,0.50005174
0.0,0.5082192,0.5109589,0.0,0.0,0.5,0.0,0.53466666,0.5426667,0.0,0.0,0.0,0.0,0.0,0.0,0.50375736,0.0,0.0,0.0,0.0
0.0,0.0,0.86712325,0.0,0.0,0.26923078,0.52666664,0.0,0.0,0.0,0.60144925,0.5002282,0.5021191,0.5005377,0.0,0.60144925,0.5002282,0.5021191,0.5005377,0.0
0.0,0.0,0.5,0.51113015,0.0,0.26923078,0.0,0.53166664,0.552,0.564,0.0,0.0,0.50020975,0.0,0.5002887,0.0,0.0,0.50020975,0.0,0.5002887
0.0,0.0,0.50547945,0.5130137,0.5267123,0.26923078,0.0,0.546,0.55833334,0.18199998,0.0,0.0,0.50532025,0.0,0.0,0.0,0.0,0.50532025,0.0,0.0
0.5,0.95753425,0.20136988,0.44520545,0.44520545,1.0,0.0,0.0,0.52666664,0.588,0.5670961,0.5113564,0.0,0.0,0.5005437,0.5670961,0.5113564,0.50512004,0.0,0.5005437
0.5,0.5,0.0,0.0,0.0,0.26923078,0.0,0.53166664,0.552,0.564,0.5316694,0.0,0.0,0.0,0.0,0.5316694,0.0,0.0,0.0,0.0
0.0,0.0,0.50547945,0.51369864,0.5267123,0.26923078,0.0,0.546,0.0,0.18266666,0.0,0.0,0.5056029,0.0,0.0,0.0,0.0,0.5056029,0.0,0.0
0.5,0.0,0.0,0.0,0.53219175,0.26923078,0.528,0.0,0.0,0.588,0.0,0.50024325,0.5026855,0.5067257,0.0,0.0,0.50024325,0.5026855,0.5067257,0.0
