0,1,2,3,4,5,6
2722,0,0,0,9,0,17
0,2756,0,0,0,0,0
0,0,2677,0,0,0,0
1,1,0,2678,0,0,2
22,0,0,0,2670,0,2
22,0,0,0,0,2792,0
42,2,2,5,1,0,2630
