0,1,2,3,4,5,6
410,36,0,800,35,0,1467
54,393,0,1339,14,0,956
17,140,0,446,5,0,2069
109,390,3,1070,18,0,1092
463,313,16,613,34,0,1255
23,1269,0,1303,0,0,219
156,490,9,533,18,0,1476
